119,motion-3,132.20542907714844,195.7532958984375
1139,motion-1,505.96881103515625,83.21533203125
1139,t-table,422.46759033203125,420.01171875
1139,motion-2,319.6533203125,140.11752319335938
1139,motion-3,130.3227996826172,195.47955322265625
1120,motion-1,506.50091552734375,83.2839126586914
1120,t-table,422.3539123535156,420.04656982421875
1120,motion-2,320.0083923339844,140.0935821533203
1120,motion-3,130.20950317382812,195.53558349609375
706,motion-1,503.1822509765625,83.32939910888672
706,t-table,424.568359375,420.0704345703125
706,motion-2,329.96923828125,140.890869140625
706,motion-3,135.32562255859375,195.4928741455078
735,motion-1,507.6190185546875,83.5209732055664
735,t-table,422.12518310546875,420.0998840332031
735,motion-2,305.40289306640625,140.63900756835938
735,motion-3,131.4258270263672,195.54458618164062
589,motion-1,497.8033447265625,83.29424285888672
589,t-table,422.56341552734375,420.24603271484375
589,motion-2,317.73199462890625,140.1351776123047
589,motion-3,132.66844177246094,195.475830078125
428,motion-1,502.83953857421875,83.38975524902344
428,t-table,422.6522216796875,420.2103271484375
428,motion-2,318.191650390625,140.23263549804688
428,motion-3,132.80018615722656,195.52798461914062
218,motion-1,506.27923583984375,83.45672607421875
218,t-table,423.4205017089844,420.3804931640625
218,motion-2,319.9208984375,140.3269500732422
218,motion-3,134.24169921875,195.70657348632812
150,motion-1,505.23248291015625,83.51139831542969
150,t-table,422.3507080078125,420.3553161621094
150,motion-2,318.03265380859375,140.38214111328125
150,motion-3,132.3196258544922,195.5975341796875
46,motion-1,506.20465087890625,83.54823303222656
46,t-table,422.9800109863281,420.31463623046875
46,motion-2,319.23388671875,140.52178955078125
46,motion-3,133.54934692382812,195.79962158203125
424,motion-1,503.01727294921875,83.55241394042969
424,t-table,423.4012756347656,420.06866455078125
424,motion-2,319.23114013671875,140.2568817138672
424,motion-3,133.8829345703125,195.6013641357422
1060,motion-1,506.107666015625,83.31034851074219
1060,t-table,422.5549011230469,420.01812744140625
1060,motion-2,319.7725830078125,140.219970703125
1060,motion-3,130.69357299804688,195.4199981689453
1266,motion-1,505.97943115234375,83.17848205566406
1266,t-table,422.2746887207031,420.141357421875
1266,motion-2,319.69921875,140.24606323242188
1266,motion-3,127.27944946289062,195.52865600585938
527,motion-1,538.685791015625,86.48123931884766
527,t-table,424.6366882324219,420.0260009765625
527,motion-2,321.83245849609375,140.26174926757812
527,motion-3,135.3439178466797,195.59104919433594
453,motion-1,483.54791259765625,84.3724594116211
453,t-table,422.60302734375,420.0963134765625
453,motion-2,318.4803771972656,140.5994873046875
453,motion-3,132.67471313476562,195.60385131835938
99,motion-1,507.3515625,83.5223388671875
99,t-table,424.1795654296875,420.36669921875
99,motion-2,320.1578369140625,140.399658203125
99,motion-3,134.7890625,195.7437744140625
918,motion-1,505.7384033203125,83.3525390625
918,t-table,422.567138671875,420.0382080078125
918,motion-2,321.4002380371094,140.17640686035156
918,motion-3,131.771240234375,195.4328155517578
268,motion-1,508.6515808105469,83.53373718261719
268,t-table,424.354248046875,420.2826843261719
268,motion-2,320.7952880859375,140.47738647460938
268,motion-3,134.98056030273438,195.786865234375
204,motion-1,507.8214416503906,83.50143432617188
204,t-table,424.5362548828125,420.3034973144531
204,motion-2,321.01666259765625,140.4381103515625
204,motion-3,135.13563537597656,195.7039794921875
554,motion-1,538.273193359375,86.50151062011719
554,t-table,424.9677429199219,420.323486328125
554,motion-2,321.99139404296875,140.24356079101562
554,motion-3,135.0313720703125,195.55075073242188
406,motion-1,503.3949890136719,83.38490295410156
406,t-table,422.7543640136719,420.3023986816406
406,motion-2,318.156005859375,140.28378295898438
406,motion-3,133.00924682617188,195.56825256347656
230,motion-1,507.45361328125,83.62336730957031
230,t-table,424.312744140625,420.226318359375
230,motion-2,319.62799072265625,140.36947631835938
230,motion-3,134.3802490234375,195.66888427734375
47,motion-1,504.65045166015625,83.59491729736328
47,t-table,422.30743408203125,420.3616943359375
47,motion-2,318.238037109375,140.4567413330078
47,motion-3,132.23748779296875,195.82647705078125
405,motion-1,501.41064453125,83.56745910644531
405,t-table,422.67620849609375,420.3070373535156
405,motion-2,318.4730224609375,140.3097686767578
405,motion-3,132.87423706054688,195.57435607910156
929,motion-1,507.3572998046875,83.56603240966797
929,t-table,422.40252685546875,420.0573425292969
929,motion-2,319.94036865234375,140.25694274902344
929,motion-3,131.99673461914062,195.44046020507812
203,motion-1,506.0831298828125,83.39762878417969
