2020-08-11_083456_980 1640,motion-1,276.5053,387.06894
2020-08-11_083456_980 0344,motion-1,276.14706,387.93823
2020-08-11_083456_980 2161,motion-1,276.4927,387.64154
2020-08-11_083456_980 0839,motion-1,276.17657,388.06323
2020-08-11_083456_980 3653,motion-1,276.48035,386.81052
2020-08-11_083456_980 1402,motion-1,276.5287,387.08676
2020-08-11_083456_980 2126,motion-1,276.75327,387.90045
2020-08-11_083456_980 1795,motion-1,276.5209,387.4913
2020-08-11_083456_980 1877,motion-1,276.76312,387.29828
2020-08-11_083456_980 2109,motion-1,276.89944,387.90884
2020-08-11_083456_980 1790,motion-1,276.83612,387.10434
2020-08-11_083456_980 0382,motion-1,276.1553,387.62408
2020-08-11_083456_980 0654,motion-1,276.12662,387.69266
2020-08-11_083456_980 2354,motion-1,277.03265,387.08572
2020-08-11_083456_980 2590,motion-1,276.62903,387.47528
2020-08-11_083456_980 2737,motion-1,276.6029,387.66925
2020-08-11_083456_980 3070,motion-1,276.81235,386.88742
2020-08-11_083456_980 1839,motion-1,276.34326,387.3796
2020-08-11_083456_980 3304,motion-1,276.46182,387.11865
2020-08-11_083456_980 1992,motion-1,275.93616,388.1416
2020-08-11_083456_980 0203,motion-1,276.23172,387.37247
2020-08-11_083456_980 3275,motion-1,276.86246,387.18277
2020-08-11_083456_980 1850,motion-1,276.5254,387.23322
2020-08-11_083456_980 2372,motion-1,276.7132,387.27008
2020-08-11_083456_980 2402,motion-1,276.3818,387.11957
2020-08-11_083456_980 0346,motion-1,276.22186,387.50415
2020-08-11_083456_980 3456,motion-1,276.5033,386.787
2020-08-11_083456_980 3162,motion-1,276.89337,387.34958
2020-08-11_083456_980 0801,motion-1,276.46826,387.6005
2020-08-11_083456_980 0243,motion-1,276.91397,387.77985
2020-08-11_083456_980 0867,motion-1,276.52777,387.33896
2020-08-11_083456_980 0231,motion-1,276.31992,387.4667
2020-08-11_083456_980 2948,motion-1,276.94077,387.47675
2020-08-11_083456_980 3315,motion-1,276.62997,386.77933
2020-08-11_083456_980 2742,motion-1,276.4291,387.93887
2020-08-11_083456_980 0475,motion-1,276.2933,387.35565
2020-08-11_083456_980 1515,motion-1,276.15216,387.76257
2020-08-11_083456_980 0369,motion-1,276.6738,387.78638
2020-08-11_083456_980 2766,motion-1,276.37964,387.57202
2020-08-11_083456_980 0545,motion-1,276.39566,387.78467
2020-08-11_083456_980 2377,motion-1,276.5819,387.67395
2020-08-11_083456_980 2575,motion-1,276.91754,387.10645
2020-08-11_083456_980 2034,motion-1,276.86557,387.82822
2020-08-11_083456_980 2144,motion-1,276.75366,387.2662
2020-08-11_083456_980 3534,motion-1,276.15872,386.9246
2020-08-11_083456_980 2497,motion-1,277.25262,387.2609
2020-08-11_083456_980 3628,motion-1,276.29672,387.06744
2020-08-11_083456_980 0661,motion-1,276.28094,387.4916
2020-08-11_083456_980 2406,motion-1,276.26984,387.15695
2020-08-11_083456_980 1034,motion-1,276.24298,387.3369
2020-08-11_083456_980 1861,motion-1,276.92657,387.0284
2020-08-11_083456_980 3092,motion-1,276.26752,387.18552
2020-08-11_083456_980 2192,motion-1,276.90582,387.6707
2020-08-11_083456_980 2176,motion-1,276.42694,387.61774
2020-08-11_083456_980 3318,motion-1,276.9005,387.10812
2020-08-11_083456_980 0890,motion-1,276.17023,387.58347
2020-08-11_083456_980 1930,motion-1,276.1741,387.24753
2020-08-11_083456_980 1719,motion-1,276.36032,387.2055
2020-08-11_083456_980 2297,motion-1,276.973,387.2186
2020-08-11_083456_980 2931,motion-1,277.15543,387.52216
2020-08-11_083456_980 1602,motion-1,276.58572,387.17145
2020-08-11_083456_980 0822,motion-1,276.48685,387.3046
2020-08-11_083456_980 0146,motion-1,275.85226,387.80478
2020-08-11_083456_980 3119,motion-1,276.43903,387.3198
2020-08-11_083456_980 0937,motion-1,276.67438,387.06488
2020-08-11_083456_980 3501,motion-1,276.92047,386.82413
2020-08-11_083456_980 3220,motion-1,276.7491,386.73926
2020-08-11_083456_980 2581,motion-1,277.28583,386.63235
2020-08-11_083456_980 2064,motion-1,276.80148,388.40656
2020-08-11_083456_980 1581,motion-1,276.80197,387.22818
2020-08-11_083456_980 0002,motion-1,276.41534,387.7554
2020-08-11_083456_980 3508,motion-1,276.35703,387.13412
2020-08-11_083456_980 2593,motion-1,277.19672,387.67444
2020-08-11_083456_980 2873,motion-1,276.2936,387.18488
2020-08-11_083456_980 2446,motion-1,276.57803,388.64157
2020-08-11_083456_980 1538,motion-1,276.52676,387.30527
2020-08-11_083456_980 2212,motion-1,276.40695,387.30414
2020-08-11_083456_980 0651,motion-1,276.51187,387.83496
2020-08-11_083456_980 3636,motion-1,276.93192,386.7558
2020-08-11_083456_980 0962,motion-1,275.6723,387.3621
2020-08-11_083456_980 2107,motion-1,276.7698,387.53232
2020-08-11_083456_980 2408,motion-1,276.3252,387.83258
2020-08-11_083456_980 2831,motion-1,276.46478,387.4658
2020-08-11_083456_980 0260,motion-1,276.65,387.35336
2020-08-11_083456_980 0337,motion-1,276.43445,387.31583
2020-08-11_083456_980 1580,motion-1,276.48044,386.71652
